COUSUBFP,NAMELSAD,Place Name,Label
69641,Shoal Creek township,Bond County,None
43952,Lisle township,DuPage County,In the Pipeline
49451,Milton township,DuPage County,None
53806,North Henderson township,Mercer County,None
79410,Wayne township,DuPage County,Current Clients
83947,York township,DuPage County,Current Clients
3558,Banner township,Effingham County,None
79891,West township,Effingham County,None
40572,Lacon township,Marshall County,None
91404,Golconda No. 2 precinct,Pope County,None
91746,Jefferson No. 4 precinct,Pope County,None
21735,Eastern township,Franklin County,None
30406,Goode township,Franklin County,None
53637,Northern township,Franklin County,None
90540,Browns precinct,Edwards County,None
91296,French Creek precinct,Edwards County,None
93081,Salem No. 1 precinct,Edwards County,None
20838,Dry Grove township,McLean County,Current Clients
28209,Funks Grove township,McLean County,None
32863,Hardin township,Pike County,None
39935,Kinderhook township,Pike County,None
52259,Newburg township,Pike County,None
52818,New Salem township,Pike County,None
58356,Pearl township,Pike County,None
59169,Perry township,Pike County,None
74535,Taylor township,Ogle County,None
14637,Clarksburg township,Shelby County,None
58590,Penn township,Shelby County,None
75588,Todds Point township,Shelby County,None
31745,Gridley township,McLean County,Current Clients
42353,Lawndale township,McLean County,Current Clients
43107,Lexington township,McLean County,None
30887,Grandville township,Jasper County,None
31888,Grove township,Jasper County,None
36659,Hunt City township,Jasper County,None
64668,Roberts township,Marshall County,None
54001,North Muddy township,Jasper County,None
66803,Ste. Marie township,Jasper County,None
21241,Du Page township,Will County,None
46370,Manhattan township,Will County,None
5742,Beverly township,Adams County,None
10019,Burton township,Adams County,None
93366,Tallula No. 11 precinct,Menard County,None
14546,Claremont township,Richland County,None
18862,Decker township,Richland County,None
19486,Denver township,Richland County,None
53156,Noble township,Richland County,None
10890,Camp Point township,Adams County,None
38999,Kansas township,Edgar County,None
26415,Flint township,Pike County,None
53117,Nixon township,De Witt County,None
79462,Waynesville township,De Witt County,None
20968,Duncan township,Mercer County,None
47215,Martin township,McLean County,Current Clients
49971,Money Creek township,McLean County,Current Clients
50972,Mount Hope township,McLean County,Current Clients
55782,Old Town township,McLean County,Current Clients
71084,South Muddy township,Jasper County,None
78357,Wade township,Jasper County,None
39311,Keithsburg township,Mercer County,None
82023,Willow Hill township,Jasper County,None
2427,Asbury township,Gallatin County,None
52519,New Haven township,Gallatin County,None
9395,Buena Vista township,Schuyler County,None
83362,Woodstock township,Schuyler County,None
15859,Columbus township,Adams County,None
16015,Concord township,Adams County,None
76888,Unity township,Piatt County,None
31030,Granville township,Putnam County,None
34124,Hennepin township,Putnam County,None
25258,Fall Creek township,Adams County,None
35957,Honey Creek township,Adams County,None
62692,Randolph township,McLean County,Current Clients
75835,Towanda township,McLean County,Current Clients
79904,West township,McLean County,None
81321,White Oak township,McLean County,None
83804,Yates township,McLean County,None
1439,Andalusia township,Rock Island County,In the Pipeline
6301,Blackhawk township,Rock Island County,None
7549,Bowling township,Rock Island County,In the Pipeline
9512,Buffalo Prairie township,Rock Island County,In the Pipeline
68601,Seminary township,Fayette County,None
70876,South Hurricane township,Fayette County,None
77330,Vandalia township,Fayette County,None
3155,Avena township,Fayette County,None
4377,Bear Grove township,Fayette County,None
11501,Carson township,Fayette County,None
44901,Loudon township,Fayette County,None
61106,Pope township,Fayette County,None
10955,Canoe Creek township,Rock Island County,In the Pipeline
15326,Coe township,Rock Island County,In the Pipeline
16379,Cordova township,Rock Island County,In the Pipeline
20825,Drury township,Rock Island County,In the Pipeline
49880,Moline township,Rock Island County,In the Pipeline
61236,Port Byron township,Rock Island County,In the Pipeline
65091,Rock Island township,Rock Island County,None
9694,Burgess township,Bond County,None
12112,Central township,Bond County,None
45252,Lyman township,Ford County,None
6561,Bloom township,Cook County,None
14000,Chicago city,Cook County,None
23243,Elk Grove township,Cook County,In the Pipeline
43120,Leyden township,Cook County,None
46162,Maine township,Cook County,None
63498,Rich township,Cook County,None
64317,River Forest township,Cook County,None
72689,Stickney township,Cook County,None
83531,Worth township,Cook County,None
66300,Rural township,Rock Island County,In the Pipeline
70993,South Moline township,Rock Island County,In the Pipeline
71201,South Rock Island township,Rock Island County,In the Pipeline
46123,Magnolia township,Putnam County,None
607,Alden township,McHenry County,None
68627,Senachwine township,Putnam County,None
17809,Crouch township,Hamilton County,None
18316,Dahlgren township,Hamilton County,None
26324,Flannigan township,Hamilton County,None
47657,Mayberry township,Hamilton County,None
70785,South Flannigan township,Hamilton County,None
36295,Houston township,Adams County,None
32577,Hampton township,Rock Island County,In the Pipeline
84246,Zuma township,Rock Island County,In the Pipeline
91716,Jacksonville No. 6 precinct,Morgan County,None
91717,Jacksonville No. 7 precinct,Morgan County,None
91718,Jacksonville No. 8 precinct,Morgan County,None
91719,Jacksonville No. 9 precinct,Morgan County,None
91721,Jacksonville No. 11 precinct,Morgan County,None
91722,Jacksonville No. 12 precinct,Morgan County,None
39220,Keene township,Adams County,None
11540,Carthage township,Hancock County,None
32993,Harmony township,Hancock County,None
50140,Montebello township,Hancock County,None
78955,Warsaw township,Hancock County,None
27325,Fountain Green township,Hancock County,None
49321,Mills township,Bond County,None
60586,Pleasant Mound township,Bond County,None
9902,Burnt Prairie township,White County,None
31069,Gray township,White County,None
37231,Indian Creek township,White County,None
59507,Phillips township,White County,None
14260,Chouteau township,Madison County,None
15612,Collinsville township,Madison County,In the Pipeline
27182,Foster township,Madison County,In the Pipeline
50465,Moro township,Madison County,In the Pipeline
51583,Nameoki township,Madison County,None
56068,Omphghent township,Madison County,None
67275,Saline township,Madison County,In the Pipeline
77486,Venice township,Madison County,In the Pipeline
91926,Literberry precinct,Morgan County,None
91740,Jefferson precinct,Massac County,None
43146,Liberty township,Adams County,None
48203,Melrose township,Adams County,None
58278,Payson township,Adams County,None
64408,Riverside township,Adams County,None
62380,Quincy township,Adams County,None
45746,McKee township,Adams County,None
53624,Northeast township,Adams County,None
63550,Richfield township,Adams County,None
78461,Walkerville township,Greene County,None
17042,Covington township,Washington County,None
36360,Hoyleton township,Washington County,None
77434,Venedy township,Washington County,None
93642,Waverly No. 2 precinct,Morgan County,None
90396,Benton precinct,Massac County,None
91944,Logan precinct,Massac County,None
92070,Metropolis No. 1 precinct,Massac County,None
35970,Honey Creek township,Crawford County,None
90378,Bellmont precinct,Wabash County,None
91890,Lick Prairie precinct,Wabash County,None
80294,Westfield township,Clark County,None
11404,Carrier Mills township,Saline County,None
50803,Mountain township,Saline County,None
72897,Stonefort township,Saline County,None
93852,Woodson precinct,Morgan County,None
2570,Ashmore township,Coles County,None
22138,East Oakland township,Coles County,None
50400,Morgan township,Coles County,None
11657,Caseyville township,St. Clair County,None
25726,Fayetteville township,St. Clair County,None
47436,Mascoutah township,St. Clair County,None
55262,O'Fallon township,St. Clair County,None
70265,Smithton township,St. Clair County,None
73456,Sugar Loaf township,St. Clair County,None
60469,Pleasant Grove township,Coles County,None
1894,Arcola township,Douglas County,None
67678,Saratoga township,Grundy County,None
30549,Goose Lake township,Grundy County,None
72741,Stites township,St. Clair County,None
91800,Karnak precinct,Pulaski County,None
92952,Pulaski precinct,Pulaski County,None
93744,Wetaug precinct,Pulaski County,None
12275,Cerro Gordo township,Piatt County,None
6808,Blue Ridge township,Piatt County,None
33981,Helvetia township,Madison County,In the Pipeline
8901,Brouilletts Creek township,Edgar County,None
90108,America precinct,Pulaski County,None
92178,Mound City precinct,Pulaski County,None
92322,Olmsted precinct,Pulaski County,None
92412,Perks precinct,Pulaski County,None
65949,Ross township,Vermilion County,None
24790,Fairfield township,Bureau County,None
9213,Buck township,Edgar County,None
22502,Edgar township,Edgar County,None
22912,Elbridge township,Edgar County,None
23958,Embarrass township,Edgar County,None
5950,Big Mound township,Wayne County,None
23685,Elm River township,Wayne County,None
42626,Leech township,Wayne County,None
28352,Galesburg City township,Knox County,In the Pipeline
30822,Grandview township,Edgar County,None
36685,Hunter township,Edgar County,None
57641,Paris township,Edgar County,None
78565,Walnut Grove township,Knox County,In the Pipeline
3415,Bald Bluff township,Henderson County,None
61483,Prairie township,Edgar County,None
65923,Ross township,Edgar County,None
9772,Burlington township,Kane County,None
23087,Elgin township,Kane County,None
26094,Fillmore Consolidated township,Montgomery County,None
35567,Holland township,Shelby County,None
55145,Oconee township,Shelby County,None
45083,Lowe township,Moultrie County,None
43315,Licking township,Crawford County,None
6002,Big Spring township,Shelby County,None
15417,Cold Spring township,Shelby County,None
20851,Dry Point township,Shelby County,None
26337,Flat Branch township,Shelby County,None
34345,Herrick township,Shelby County,None
41690,Lakewood township,Shelby County,None
4845,Belleville city,St. Clair County,None
51245,Moweaqua township,Shelby County,None
55457,Okaw township,Shelby County,None
24582,Evanston city,Cook County,None
250,Addison township,DuPage County,In the Pipeline
20604,Downers Grove township,DuPage County,Current Clients
51635,Naperville township,DuPage County,In the Pipeline
82413,Winfield township,DuPage County,None
69498,Shiloh township,Edgar County,None
73092,Stratton township,Edgar County,None
84064,Young America township,Edgar County,None
14000,Chicago city,DuPage County,None
3350,Bainbridge township,Schuyler County,None
6132,Birmingham township,Schuyler County,None
15248,Coal Valley township,Rock Island County,In the Pipeline
60235,Pittsfield township,Pike County,None
60547,Pleasant Hill township,Pike County,None
204,Adams township,La Salle County,None
56224,Ophir township,La Salle County,None
60651,Pleasant Vale township,Pike County,None
65936,Ross township,Pike County,None
71617,Spring Creek township,Pike County,None
92550,Precinct 1,Monroe County,None
92575,Precinct 6,Monroe County,None
92595,Precinct 10,Monroe County,None
63576,Richland township,La Salle County,None
1283,Amboy township,Lee County,None
24231,English township,Jersey County,None
25973,Fidelity township,Jersey County,None
6600,Bloomingdale township,DuPage County,None
27078,Forreston township,Ogle County,Current Clients
8693,Brooklyn township,Schuyler County,None
