NAMELSAD,COUSUBFP
Westfield township,80294
Carrier Mills township,11404
Mountain township,50803
Stonefort township,72897
Woodson precinct,93852
Ashmore township,02570
East Oakland township,22138
Morgan township,50400
Caseyville township,11657
Fayetteville township,25726
Mascoutah township,47436
O'Fallon township,55262
Smithton township,70265
Sugar Loaf township,73456
Pleasant Grove township,60469
Arcola township,01894
Saratoga township,67678
Goose Lake township,30549
Stites township,72741
Karnak precinct,91800
Pulaski precinct,92952
Wetaug precinct,93744
Cerro Gordo township,12275
Blue Ridge township,06808
Helvetia township,33981
Brouilletts Creek township,08901
America precinct,90108
Mound City precinct,92178
Olmsted precinct,92322
Perks precinct,92412
Ross township,65949
Fairfield township,24790
Buck township,09213
Edgar township,22502
Elbridge township,22912
Embarrass township,23958
Big Mound township,05950
Elm River township,23685
Leech township,42626
Galesburg City township,28352
Grandview township,30822
Hunter township,36685
Paris township,57641
Walnut Grove township,78565
Bald Bluff township,03415
Prairie township,61483
Ross township,65923
Burlington township,09772
Elgin township,23087
Fillmore Consolidated township,26094
Holland township,35567
Oconee township,55145
Lowe township,45083
Licking township,43315
Big Spring township,06002
Cold Spring township,15417
Dry Point township,20851
Flat Branch township,26337
Herrick township,34345
Lakewood township,41690
Belleville city,04845
Moweaqua township,51245
Okaw township,55457
Evanston city,24582
Addison township,00250
Downers Grove township,20604
Naperville township,51635
Winfield township,82413
Shiloh township,69498
Stratton township,73092
Young America township,84064
Chicago city,14000
Bainbridge township,03350
Birmingham township,06132
Coal Valley township,15248
Pittsfield township,60235
Pleasant Hill township,60547
Adams township,00204
Ophir township,56224
Pleasant Vale township,60651
Ross township,65936
Spring Creek township,71617
Precinct 1,92550
Precinct 6,92575
Precinct 10,92595
Richland township,63576
Amboy township,01283
English township,24231
Fidelity township,25973
Bloomingdale township,06600
Forreston township,27078
Brooklyn township,08693
Browning township,08966
Camden township,10708
Frederick township,27793
Hickory township,34462
Huntsville township,36776
Akron township,00477
Brimfield township,08316
Chillicothe township,14130
Elmwood township,23711
Hollis township,35645
Jubilee township,38765
Limestone township,43523
Clayton township,14780
Ellington township,23412
Gilmer township,29288
Lima township,43458
Mendon township,48320
Ursa township,77057
Precinct 37,92730
Precinct 28,92685
Bradford township,07679
Brooklyn township,08654
Harmon township,32980
Lee Center township,42613
Rushville township,66352
Hale township,32226
Spring Grove township,72065
Belleview precinct,90360
Carlin precinct,90630
Crater precinct,90900
Gilead precinct,91350
Hamburg precinct,91584
Du Quoin No. 2 precinct,91011
Beaucoup precinct,90342
Sunfield precinct,93330
Pinckneyville No. 8 precinct,92475
Tamaroa No. 1 precinct,93384
Cutler precinct,90936
Logan township,44342
Millbrook township,49113
Princeville township,61938
Radnor township,62510
Richwoods township,63771
Rosefield township,65715
Timber township,75289
Lisbon township,43913
Vernon township,77668
Mason City township,47482
Percy precinct,92394
Sand Prairie township,67483
Cruger township,17861
Jacksonville No. 10 precinct,91720
Wyoming township,83674
Hardin precinct,91602
Littleton township,44069
Richwood precinct,92988
Lockport township,44238
Wilton township,82244
Channahon township,12483
Crete township,17536
Custer township,18199
Florence township,26519
Frankfort township,27631
Martinsburg township,47241
Trivoli township,76121
West Peoria township,80749
Nachusa township,51557
Chemung township,12892
Osceola township,56783
Carterville precinct,90648
Creal Springs precinct,90918
Herrin precinct,91620
Stonefort precinct,93294
Crab Orchard precinct,90882
Dorr township,20396
Dunham township,21111
Grafton township,30666
Greenwood township,31680
Hebron township,33864
Zif township,84194
Jonesboro District 1 precinct,91764
Levee township,43003
Montezuma township,50192
Clay City township,14728
Nebraska township,51895
Sunbury township,73781
Green Garden township,31394
Homer township,35827
Jackson township,38076
Joliet township,38583
Monee township,49958
New Lenox township,52597
Ash Grove township,02453
Chebanse township,12814
Concord township,16041
Danforth township,18511
Martinton township,47293
Du Quoin No. 8 precinct,91017
Corinth precinct,90846
Southern precinct,93204
Lake Creek precinct,91836
McHenry township,45707
Marengo township,46799
Richmond township,63654
Crooked Creek township,17640
Spring Point township,72143
Riley township,64096
Nunda township,54495
Seneca township,68653
Bible Grove township,05807
Blair township,06392
Oskaloosa township,56835
Pixley township,60261
Sullivan township,73508
Otto township,57017
Songer township,70486
Stanford township,72247
Xenia township,83752
Farmington township,25544
Harris township,33110
Isabel township,37842
Waterford township,79137
Little Mackinaw township,44017
Butler Grove township,10175
Nokomis township,53182
North Litchfield township,53949
Raymond township,62978
Batavia township,04091
Big Rock township,05989
Blackberry township,06262
Campton township,10903
Cottonwood township,16587
Sumpter township,73729
Woodbury township,82959
Greenup township,31537
Alto Pass precinct,90090
Dundee township,21046
Geneva township,28885
Hampshire township,32538
Kaneville township,38908
Centralia township,12177
Romine township,65455
Salem township,67249
Tonti township,75744
