STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,135,Walshville township,78669,Montgomery County,County,None
17,97,Benton township,5326,Lake County,County,None
17,97,Ela township,22853,Lake County,County,None
17,21,Johnson township,38492,Christian County,County,None
17,21,Mosquito township,50686,Christian County,County,None
17,21,Pana township,57485,Christian County,County,None
17,21,Prairieton township,61730,Christian County,County,None
17,21,Ricks township,63797,Christian County,County,None
17,129,Atterberry No. 10 precinct,90270,Menard County,County,None
17,107,Atlanta township,2765,Logan County,County,None
17,107,Broadwell township,8485,Logan County,County,None
17,11,Arispie township,2076,Bureau County,County,None
17,11,Berlin township,5430,Bureau County,County,None
17,11,Bureau township,9668,Bureau County,County,None
17,11,Clarion township,14598,Bureau County,County,None
17,135,Witt township,82738,Montgomery County,County,None
17,135,Zanesville township,84129,Montgomery County,County,None
17,135,Bois D'Arc township,7107,Montgomery County,County,None
17,135,Irving township,37751,Montgomery County,County,None
17,135,Rountree township,66092,Montgomery County,County,None
17,151,Eddyville No. 6 precinct,91116,Pope County,County,None
17,65,Beaver Creek township,4481,Hamilton County,County,None
17,145,Du Quoin No. 3 precinct,91012,Perry County,County,None
17,145,Du Quoin No. 4 precinct,91013,Perry County,County,None
17,145,Du Quoin No. 5 precinct,91014,Perry County,County,None
17,145,Du Quoin No. 6 precinct,91015,Perry County,County,None
17,53,Drummer township,20799,Ford County,County,None
17,107,Chester township,13126,Logan County,County,None
17,107,Corwin township,16496,Logan County,County,None
17,107,Eminence township,24049,Logan County,County,None
17,107,Laenna township,40624,Logan County,County,None
17,21,Rosamond township,65598,Christian County,County,None
17,21,South Fork township,70798,Christian County,County,None
17,21,Taylorville township,74587,Christian County,County,None
17,21,King township,39948,Christian County,County,None
17,129,Petersburg East No. 13 precinct,92433,Menard County,County,None
17,129,Petersburg North No. 14 precinct,92436,Menard County,County,None
17,203,Cazenovia township,11878,Woodford County,County,None
17,11,Concord township,16028,Bureau County,County,None
17,11,Dover township,20539,Bureau County,County,None
17,11,Greenville township,31602,Bureau County,County,None
17,129,Petersburg South No. 15 precinct,92439,Menard County,County,None
17,129,Rock Creek No. 12 precinct,93024,Menard County,County,None
17,119,Alton township,1127,Madison County,County,In the Pipeline
17,119,Edwardsville township,22710,Madison County,County,In the Pipeline
17,119,Granite City township,30939,Madison County,County,None
17,119,Jarvis township,38245,Madison County,County,In the Pipeline
17,151,Golconda No. 1 precinct,91386,Pope County,County,None
17,151,Golconda No. 3 precinct,91422,Pope County,County,None
17,151,Webster No. 5 precinct,93654,Pope County,County,None
