STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type
17,149,Chambersburg township,12359,Pike County,County
17,109,Sciota township,68211,McDonough County,County
17,109,Tennessee township,74678,McDonough County,County
17,105,Waldo township,78409,Livingston County,County
17,153,Mounds precinct,92196,Pulaski County,County
17,109,Walnut Grove township,78591,McDonough County,County
17,113,Blue Mound township,06743,McLean County,County
17,113,Chenoa township,12944,McLean County,County
17,149,Cincinnati township,14390,Pike County,County
17,149,Derry township,19577,Pike County,County
17,149,Detroit township,19694,Pike County,County
17,149,Fairmount township,24972,Pike County,County
17,149,Griggsville township,31784,Pike County,County
17,149,Hadley township,32070,Pike County,County
17,113,Cropsey township,17705,McLean County,County
17,113,Danvers township,18550,McLean County,County
17,113,Dawson township,18732,McLean County,County
17,005,Mulberry Grove township,51297,Bond County,County
17,005,Shoal Creek township,69641,Bond County,County
17,043,Lisle township,43952,DuPage County,County
17,043,Milton township,49451,DuPage County,County
17,131,North Henderson township,53806,Mercer County,County
17,043,Wayne township,79410,DuPage County,County
17,043,York township,83947,DuPage County,County
17,049,Banner township,03558,Effingham County,County
17,049,West township,79891,Effingham County,County
17,123,Lacon township,40572,Marshall County,County
17,151,Golconda No. 2 precinct,91404,Pope County,County
17,151,Jefferson No. 4 precinct,91746,Pope County,County
17,055,Eastern township,21735,Franklin County,County
17,055,Goode township,30406,Franklin County,County
17,055,Northern township,53637,Franklin County,County
17,047,Browns precinct,90540,Edwards County,County
17,047,French Creek precinct,91296,Edwards County,County
17,047,Salem No. 1 precinct,93081,Edwards County,County
17,113,Dry Grove township,20838,McLean County,County
17,113,Funks Grove township,28209,McLean County,County
17,149,Hardin township,32863,Pike County,County
17,149,Kinderhook township,39935,Pike County,County
17,149,Newburg township,52259,Pike County,County
17,149,New Salem township,52818,Pike County,County
17,149,Pearl township,58356,Pike County,County
17,149,Perry township,59169,Pike County,County
17,141,Taylor township,74535,Ogle County,County
17,173,Clarksburg township,14637,Shelby County,County
17,173,Penn township,58590,Shelby County,County
17,173,Todds Point township,75588,Shelby County,County
17,113,Gridley township,31745,McLean County,County
17,113,Lawndale township,42353,McLean County,County
17,113,Lexington township,43107,McLean County,County
17,079,Grandville township,30887,Jasper County,County
17,079,Grove township,31888,Jasper County,County
17,079,Hunt City township,36659,Jasper County,County
17,123,Roberts township,64668,Marshall County,County
17,079,North Muddy township,54001,Jasper County,County
17,079,Ste. Marie township,66803,Jasper County,County
17,197,Du Page township,21241,Will County,County
17,197,Manhattan township,46370,Will County,County
17,001,Beverly township,05742,Adams County,County
17,001,Burton township,10019,Adams County,County
17,129,Tallula No. 11 precinct,93366,Menard County,County
17,159,Claremont township,14546,Richland County,County
17,159,Decker township,18862,Richland County,County
17,159,Denver township,19486,Richland County,County
17,159,Noble township,53156,Richland County,County
17,001,Camp Point township,10890,Adams County,County
17,045,Kansas township,38999,Edgar County,County
17,149,Flint township,26415,Pike County,County
17,039,Nixon township,53117,De Witt County,County
17,039,Waynesville township,79462,De Witt County,County
17,131,Duncan township,20968,Mercer County,County
17,113,Martin township,47215,McLean County,County
17,113,Money Creek township,49971,McLean County,County
17,113,Mount Hope township,50972,McLean County,County
17,113,Old Town township,55782,McLean County,County
17,079,South Muddy township,71084,Jasper County,County
17,079,Wade township,78357,Jasper County,County
17,131,Keithsburg township,39311,Mercer County,County
17,079,Willow Hill township,82023,Jasper County,County
17,059,Asbury township,02427,Gallatin County,County
17,059,New Haven township,52519,Gallatin County,County
17,169,Buena Vista township,09395,Schuyler County,County
17,169,Woodstock township,83362,Schuyler County,County
17,001,Columbus township,15859,Adams County,County
17,001,Concord township,16015,Adams County,County
17,147,Unity township,76888,Piatt County,County
17,155,Granville township,31030,Putnam County,County
17,155,Hennepin township,34124,Putnam County,County
17,001,Fall Creek township,25258,Adams County,County
17,001,Honey Creek township,35957,Adams County,County
17,113,Randolph township,62692,McLean County,County
17,113,Towanda township,75835,McLean County,County
17,113,West township,79904,McLean County,County
17,113,White Oak township,81321,McLean County,County
17,113,Yates township,83804,McLean County,County
17,161,Andalusia township,01439,Rock Island County,County
17,161,Blackhawk township,06301,Rock Island County,County
17,161,Bowling township,07549,Rock Island County,County
17,161,Buffalo Prairie township,09512,Rock Island County,County
17,051,Seminary township,68601,Fayette County,County
17,051,South Hurricane township,70876,Fayette County,County
17,051,Vandalia township,77330,Fayette County,County
17,051,Avena township,03155,Fayette County,County
17,051,Bear Grove township,04377,Fayette County,County
17,051,Carson township,11501,Fayette County,County
17,051,Loudon township,44901,Fayette County,County
17,051,Pope township,61106,Fayette County,County
17,161,Canoe Creek township,10955,Rock Island County,County
17,161,Coe township,15326,Rock Island County,County
17,161,Cordova township,16379,Rock Island County,County
17,161,Drury township,20825,Rock Island County,County
17,161,Moline township,49880,Rock Island County,County
17,161,Port Byron township,61236,Rock Island County,County
17,161,Rock Island township,65091,Rock Island County,County
17,005,Burgess township,09694,Bond County,County
