NAMELSAD
Cedar township
Chestnut township
Copley township
Elba township
Haw Creek township
Indian Point township
Knox township
Maquon township
Brushy township
Cottage township
South Macon township
Stone Church precinct
Ontario township
Persifer township
Rio township
Salem township
Sparta township
Bradley township
Lick Creek precinct
Mill Creek precinct
Stokes precinct
Belvidere township
Clement township
Bonus township
Boone township
Caledonia township
Jamaica township
Bethel township
Truro township
Victoria township
Carmi township
Elsah township
De Soto township
Fountain Bluff township
Kinkaid township
Bushnell township
Colchester township
Eldorado township
Lynchburg township
Hire township
Industry township
Sugar Grove No. 5 precinct
Brown township
Lagrange township
Old Ripley township
Tamalco township
Alba township
Annawan township
Atkinson township
Burns township
Clover township
Colona township
Cornwall township
Edford township
Geneseo township
Hanna township
Kewanee township
Loraine township
Clintonia township
Creek township
Shelby No. 2 precinct
Harp township
Lynn township
Munson township
Osco township
Oxford township
Phenix township
Weller township
Wethersfield township
Yorktown township
Plainfield township
Reed township
Troy township
Washington township
Wesley township
Dallas City township
Nauvoo township
Texas township
Tunbridge township
Wapella township
Pilot Grove township
Pontoosuc township
Cooperstown township
Wilson township
Stockton township
Carlyle township
Lake township
Ash Grove township
Kickapoo township
Medina township
Cairo precinct
Tamms precinct
Squaw Grove township
Austin township
Wheatland township
Wilmington township
Charleston township
Hutton township
Adkins precinct
East Brooklyn precinct
Bennington township
Aux Sable township
Pickaway township
Benton township
Denning township
Tyrone township
Grant precinct
Hillerman precinct
German township
Madison township
Preston township
Seward township
Anna District 5 precinct
Shirland township
Hopewell township
Braceville township
Erienna township
Felix township
Garfield township
Windsor township
Jackson precinct
Metropolis No. 2 precinct
Metropolis No. 3 precinct
West Brooklyn precinct
Flora township
Barnhill township
Rock Creek township
St. Mary township
Goodfarm township
Greenfield township
Highland township
Maine township
Henry township
Bedford township
Berry township
Mazon township
Franklin precinct
Indian Creek No. 7 precinct
Sonora township
Hutsonville township
Lamotte township
Montgomery township
Robinson township
Southwest township
Wauponsee township
Morris township
Nettle Creek township
Four Mile township
Garden Hill township
Grover township
Hickory Hill township
Norman township
Vienna township
Indian Prairie township
Steuben township
Athensville township
Jasper township
Keith township
Bluffdale township
Linder township
Irish Grove No. 4 precinct
Lamard township
Massilon township
Petersburg West No. 16 precinct
Lincoln precinct
Eliza township
Greene township
Palestine township
Panola township
Partridge township
Spring Bay township
Worth township
St. Clair township
Mount Erie township
Orchard township
Orel township
Roanoke township
Arrington township
Point precinct
Meridian township
Valley township
Gold township
Freeport township
Winslow township
Bond township
Denison township
Lawrence township
Petty township
Buckeye township
Loran township
Astoria township
Banner township
Bernadotte township
Buckheart township
Ashton township
Rock Run township
Canton township
Ellisville township
Fairview township
Farmers township
Joshua township
Franklin Grove township
Dixon township
East Grove township
Hamilton township
Marion township
May township
Godfrey village
Nelson township
Palmyra township
South Dixon township
Sublette township
Viola township
Willow Creek township
Will township
Seward township
Peotone township
Bowlesville township
Roscoe township
Burritt township
Cherry Valley township
Coffee precinct
Lancaster precinct
Durand township
