County,Township,Label,COUSUBFP
DeKalb County,Victor township,,77798
Warren County,Greenbush township,,31277
Morgan County,Murrayville precinct,,92232
Clark County,Anderson township,,01465
Effingham County,Douglas township,,20474
Clark County,Douglas township,,20461
Iroquois County,Douglas township,,20487
Schuyler County,Oakland township,,54794
Iroquois County,Ashkum township,,02492
Iroquois County,Belmont township,,05014
Iroquois County,Middleport township,,48814
Iroquois County,Prairie Green township,,61665
Warren County,Kelly township,,39396
Warren County,Lenox township,,42847
Warren County,Monmouth township,,50023
Fulton County,Vermont township,,77655
Knox County,Orange township,,56315
Clark County,Orange township,,56302
Lee County,Alto township,,01101
Cass County,Bluff Springs township,,06938
Monroe County,Precinct 2,,92555
Monroe County,Precinct 3,,92560
Iroquois County,Artesia township,,02401
Iroquois County,Beaver township,,04455
Warren County,Swan township,,74093
Carroll County,Woodland township,,83076
Fulton County,Woodland township,,83089
Fulton County,Young Hickory township,,84077
Marion County,Kinmundy township,,40130
Monroe County,Precinct 4,,92565
Monroe County,Precinct 5,,92570
Marion County,Odin township,,55223
Monroe County,Precinct 7,,92580
Monroe County,Precinct 8,,92585
Monroe County,Precinct 9,,92590
Warren County,Roseville township,,65858
Iroquois County,Beaverville township,,04520
Iroquois County,Crescent township,,17367
Effingham County,Douglas township,,20474
Clark County,Douglas township,,20461
Iroquois County,Douglas township,,20487
Iroquois County,Fountain Creek township,,27286
Marion County,Omega township,,56055
Marion County,Sandoval township,,67457
Marion County,Patoka township,,58070
Marion County,Alma township,,00932
Carroll County,Elkhorn Grove township,,23321
Monroe County,Precinct 13,,92610
Monroe County,Precinct 16,,92625
Monroe County,Precinct 17,,92630
Monroe County,Precinct 18,,92635
Monroe County,Precinct 19,,92640
Iroquois County,Iroquois township,,37725
Iroquois County,Loda township,,44277
Iroquois County,Lovejoy township,,44979
Iroquois County,Milford township,,49061
Monroe County,Precinct 11,,92600
Monroe County,Precinct 14,,92615
Monroe County,Precinct 24,,92665
Monroe County,Precinct 27,,92680
Monroe County,Precinct 20,,92645
Monroe County,Precinct 23,,92660
Monroe County,Precinct 25,,92670
Monroe County,Precinct 26,,92675
Monroe County,Precinct 29,,92690
Monroe County,Precinct 30,,92695
Cook County,Barrington township,,03831
Cook County,Berwyn township,,05586
Macoupin County,Staunton township,,72416
Adams County,Clayton township,,14780
Woodford County,Clayton township,,14793
Iroquois County,Milks Grove township,,49074
Iroquois County,Onarga township,,56094
Iroquois County,Papineau township,,57589
Iroquois County,Pigeon Grove township,,59767
Iroquois County,Ridgeland township,,63901
Alexander County,McClure precinct,,91980
Alexander County,Olive Branch precinct,,92304
Alexander County,Sandusky precinct,,93114
Iroquois County,Sheldon township,,69225
Tazewell County,Boynton township,,07627
Pike County,Cincinnati township,,14390
Tazewell County,Cincinnati township,,14403
Tazewell County,Deer Creek township,,18953
Whiteside County,Genesee township,,28833
Whiteside County,Hahnaman township,,32174
Whiteside County,Hopkins township,,36178
Whiteside County,Hume township,,36581
Tazewell County,Delavan township,,19239
Tazewell County,Elm Grove township,,23607
Tazewell County,Fondulac township,,26636
Whiteside County,Montmorency township,,50270
Monroe County,Precinct 31,,92700
Monroe County,Precinct 32,,92705
Monroe County,Precinct 33,,92710
Monroe County,Precinct 34,,92715
Monroe County,Precinct 35,,92720
Monroe County,Precinct 36,,92725
Cook County,Calumet township,,10474
Cook County,Cicero township,,14364
Cook County,Lemont township,,42808
Cook County,New Trier township,,52909
White County,Enfield township,,24192
White County,Heralds Prairie township,,34228
Jersey County,Richwood township,,63745
Jersey County,Jersey township,,38401
Jersey County,Mississippi township,,49672
Jersey County,Otter Creek township,,56952
La Salle County,Otter Creek township,,56965
Jersey County,Piasa township,,59598
Jersey County,Quarry township,,62354
Jersey County,Rosedale township,,65689
Jackson County,Levan township,,42990
Jackson County,Murphysboro township,,51466
Monroe County,Precinct 21,,92650
Jackson County,Sand Ridge township,,67522
La Salle County,Groveland township,,31914
Tazewell County,Groveland township,,31940
Tazewell County,Hittle township,,35359
Tazewell County,Mackinaw township,,45792
Bureau County,Manlius township,,46435
La Salle County,Manlius township,,46448
Tazewell County,Malone township,,46266
Tazewell County,Morton township,,50634
Tazewell County,Pekin township,,58460
Livingston County,Rooks Creek township,,65520
Mason County,Bath township,,04169
Jackson County,Vergennes township,,77538
Jackson County,Grand Tower township,,30783
Jackson County,Pomona township,,60963
Hamilton County,Crook township,,17627
Hamilton County,Knight Prairie township,,40299
Monroe County,Precinct 15,,92620
Monroe County,Precinct 22,,92655
Lake County,County subdivisions not defined,,00000
Cook County,County subdivisions not defined,,00000
Cook County,Bremen township,,07939
Jo Daviess County,Hanover township,,32720
Cook County,Hanover township,,32694
Cook County,Niles township,,53013
Cook County,Proviso township,,62133
Cook County,Thornton township,,75198
Cook County,Northfield township,,53676
Cook County,Norwood Park township,,54430
Cook County,Oak Park township,,54898
Cook County,Orland township,,56614
Fayette County,Hurricane township,,36802
Fayette County,La Clede township,,40533
Fayette County,Lone Grove township,,44459
Fayette County,Otego township,,56913
Fayette County,Shafter township,,68926
Bureau County,Wheatland township,,81009
Will County,Wheatland township,,81035
Fayette County,Wheatland township,,81022
Fayette County,Wilberton township,,81568
Jackson County,Somerset township,,70408
Tazewell County,Spring Lake township,,72130
Tazewell County,Tremont township,,75978
Carroll County,Washington township,,79020
Will County,Washington township,,79059
Tazewell County,Washington township,,79046
Stark County,Toulon township,,75796
Cook County,Palatine township,,57238
Cook County,Palos township,,57355
Adams County,Riverside township,,64408
Cook County,Riverside township,,64434
Cook County,Schaumburg township,,68016
Macoupin County,Bunker Hill township,,09590
Macoupin County,Brighton township,,08277
Whiteside County,Albany township,,00529
Fayette County,Ramsey township,,62640
Fayette County,Sefton township,,68549
Washington County,Okawville township,,55483
Washington County,Oakdale township,,54599
Whiteside County,Coloma township,,15651
Whiteside County,Fenton township,,25817
Whiteside County,Fulton township,,28157
Whiteside County,Garden Plain township,,28586
La Salle County,Allen township,,00763
La Salle County,Brookfield township,,08583
La Salle County,Dayton township,,18784
Cook County,Lyons township,,45447
Cook County,Wheeling township,,81100
Macoupin County,Bird township,,06067
Macoupin County,Brushy Mound township,,09135
Kendall County,Fox township,,27416
Jasper County,Fox township,,27390
La Salle County,Dimmick township,,19980
La Salle County,Eagle township,,21436
La Salle County,Earl township,,21527
La Salle County,Eden township,,22424
La Salle County,Fall River township,,25284
La Salle County,Farm Ridge township,,25583
La Salle County,Grand Rapids township,,30744
Macoupin County,Carlinville township,,11209
Macoupin County,Girard township,,29405
Macoupin County,Hillyard township,,35242
Macoupin County,Honey Point township,,35996
Whiteside County,Ustick township,,77070
Jackson County,Elk township,,23217
Mason County,Allens Grove township,,00844
La Salle County,Hope township,,36100
La Salle County,LaSalle township,,42197
Bureau County,Manlius township,,46435
La Salle County,Manlius township,,46448
La Salle County,Mendota township,,48346
La Salle County,Meriden township,,48463
La Salle County,Miller township,,49204
Macoupin County,Mount Olive township,,51037
Macoupin County,North Otter township,,54040
Mason County,Forest City township,,26766
Mason County,Havana township,,33526
Mason County,Manito township,,46396
Mason County,Pennsylvania township,,58629
Mason County,Quiver township,,62419
Macoupin County,North Palmyra township,,54053
Macoupin County,Polk township,,60924
La Salle County,Mission township,,49646
La Salle County,Northville township,,54248
La Salle County,Osage township,,56731
La Salle County,Ottawa township,,56939
Jersey County,Otter Creek township,,56952
La Salle County,Otter Creek township,,56965
Macoupin County,Scottville township,,68419
Macoupin County,Shaws Point township,,69121
Macoupin County,Shipman township,,69576
Macoupin County,Virden township,,78162
Mercer County,Abington township,,00126
Macoupin County,Western Mound township,,80229
Whiteside County,Prophetstown township,,61990
Whiteside County,Sterling township,,72553
Whiteside County,Tampico township,,74483
Whiteside County,Union Grove township,,76758
Lake County,Moraine township,,50364
Jo Daviess County,Warren township,,78864
Lake County,Warren township,,78877
Lake County,Zion township,,84233
St. Clair County,Centreville township,,12210
St. Clair County,Shiloh Valley township,,69550
St. Clair County,Stookey township,,72988
St. Clair County,Millstadt township,,49399
Morgan County,Lynnville-Markham precinct,,91965
Morgan County,Meredosia precinct,,92041
Morgan County,Chapin-Concord precinct,,90725
