County,Township,Label,COUSUBFP
Pike County,Atlas township,,02791
Pike County,Barry township,,03974
McDonough County,Prairie City township,,61561
Pike County,Chambersburg township,,12359
McDonough County,Sciota township,,68211
McDonough County,Tennessee township,,74678
Livingston County,Waldo township,,78409
Pulaski County,Mounds precinct,,92196
McDonough County,Walnut Grove township,,78591
Knox County,Walnut Grove township,,78565
McLean County,Blue Mound township,,06743
Macon County,Blue Mound township,,06769
McLean County,Chenoa township,,12944
Pike County,Cincinnati township,,14390
Tazewell County,Cincinnati township,,14403
Pike County,Derry township,,19577
Pike County,Detroit township,,19694
Pike County,Fairmount township,,24972
Pike County,Griggsville township,,31784
Pike County,Hadley township,,32070
McLean County,Cropsey township,,17705
McLean County,Danvers township,,18550
McLean County,Dawson township,,18732
Bond County,Mulberry Grove township,,51297
Bond County,Shoal Creek township,,69641
DuPage County,Lisle township,,43952
DuPage County,Milton township,,49451
Mercer County,North Henderson township,,53806
DuPage County,Wayne township,,79410
Clark County,York township,,83934
DuPage County,York township,,83947
Carroll County,York township,,83908
Effingham County,Banner township,,03558
Fulton County,Banner township,,03584
Effingham County,West township,,79891
McLean County,West township,,79904
Marshall County,Lacon township,,40572
Pope County,Golconda No. 2 precinct,,91404
Pope County,Jefferson No. 4 precinct,,91746
Franklin County,Eastern township,,21735
Franklin County,Goode township,,30406
Franklin County,Northern township,,53637
Edwards County,Browns precinct,,90540
Edwards County,French Creek precinct,,91296
Edwards County,Salem No. 1 precinct,,93081
McLean County,Dry Grove township,,20838
McLean County,Funks Grove township,,28209
Pike County,Hardin township,,32863
Pike County,Kinderhook township,,39935
Pike County,Newburg township,,52259
McDonough County,New Salem township,,52792
Pike County,New Salem township,,52818
Pike County,Pearl township,,58356
Pike County,Perry township,,59169
Ogle County,Taylor township,,74535
Shelby County,Clarksburg township,,14637
Shelby County,Penn township,,58590
Stark County,Penn township,,58603
Shelby County,Todds Point township,,75588
McLean County,Gridley township,,31745
McLean County,Lawndale township,,42353
McLean County,Lexington township,,43107
Jasper County,Grandville township,,30887
Jasper County,Grove township,,31888
Jasper County,Hunt City township,,36659
Marshall County,Roberts township,,64668
Jasper County,North Muddy township,,54001
Jasper County,Ste. Marie township,,66803
Will County,Du Page township,,21241
Will County,Manhattan township,,46370
Adams County,Beverly township,,05742
Adams County,Burton township,,10019
McHenry County,Burton township,,10032
Menard County,Tallula No. 11 precinct,,93366
Richland County,Claremont township,,14546
Richland County,Decker township,,18862
Richland County,Denver township,,19486
Richland County,Noble township,,53156
Adams County,Camp Point township,,10890
Woodford County,Kansas township,,39012
Edgar County,Kansas township,,38999
Pike County,Flint township,,26415
