COUSUBFP,NAMELSAD,Place Name,Label
58278,Payson township,Adams County,
64408,Riverside township,Adams County,
62380,Quincy township,Adams County,
45746,McKee township,Adams County,
53624,Northeast township,Adams County,
63550,Richfield township,Adams County,
78461,Walkerville township,Greene County,
17042,Covington township,Washington County,
36360,Hoyleton township,Washington County,
77434,Venedy township,Washington County,
93642,Waverly No. 2 precinct,Morgan County,
90396,Benton precinct,Massac County,
91944,Logan precinct,Massac County,
92070,Metropolis No. 1 precinct,Massac County,
35970,Honey Creek township,Crawford County,
90378,Bellmont precinct,Wabash County,
91890,Lick Prairie precinct,Wabash County,
80294,Westfield township,Clark County,
11404,Carrier Mills township,Saline County,
50803,Mountain township,Saline County,
72897,Stonefort township,Saline County,
93852,Woodson precinct,Morgan County,
2570,Ashmore township,Coles County,
22138,East Oakland township,Coles County,
50400,Morgan township,Coles County,
11657,Caseyville township,St. Clair County,
25726,Fayetteville township,St. Clair County,
47436,Mascoutah township,St. Clair County,
55262,O'Fallon township,St. Clair County,
70265,Smithton township,St. Clair County,
73456,Sugar Loaf township,St. Clair County,
60469,Pleasant Grove township,Coles County,
1894,Arcola township,Douglas County,
67678,Saratoga township,Grundy County,
30549,Goose Lake township,Grundy County,
72741,Stites township,St. Clair County,
91800,Karnak precinct,Pulaski County,
92952,Pulaski precinct,Pulaski County,
93744,Wetaug precinct,Pulaski County,
12275,Cerro Gordo township,Piatt County,
6808,Blue Ridge township,Piatt County,
33981,Helvetia township,Madison County,In the Pipeline
8901,Brouilletts Creek township,Edgar County,
90108,America precinct,Pulaski County,
92178,Mound City precinct,Pulaski County,
92322,Olmsted precinct,Pulaski County,
92412,Perks precinct,Pulaski County,
65949,Ross township,Vermilion County,
24790,Fairfield township,Bureau County,
9213,Buck township,Edgar County,
22502,Edgar township,Edgar County,
22912,Elbridge township,Edgar County,
23958,Embarrass township,Edgar County,
5950,Big Mound township,Wayne County,
23685,Elm River township,Wayne County,
42626,Leech township,Wayne County,
28352,Galesburg City township,Knox County,In the Pipeline
30822,Grandview township,Edgar County,
36685,Hunter township,Edgar County,
57641,Paris township,Edgar County,
78565,Walnut Grove township,Knox County,In the Pipeline
3415,Bald Bluff township,Henderson County,
61483,Prairie township,Edgar County,
65923,Ross township,Edgar County,
9772,Burlington township,Kane County,
23087,Elgin township,Kane County,
26094,Fillmore Consolidated township,Montgomery County,
35567,Holland township,Shelby County,
55145,Oconee township,Shelby County,
45083,Lowe township,Moultrie County,
